,artist,total_articles,avg_trends_score,overall_popularity,total_comments,positive_pct,negative_pct,neutral_pct,avg_sentiment
8,Sơn Tùng,691,17.452830188679247,0.2877469716273332,1713,0.7028604786923526,0.2545242265032107,0.04261529480443666,0.44833625218914186
7,Xuân Bắc,933,5.867924528301887,0.24694339622641512,670,0.7164179104477612,0.23134328358208955,0.05223880597014925,0.4850746268656716
2,Trấn Thành,300,16.867924528301888,0.19925207789844085,4408,0.6388384754990926,0.2819872958257713,0.07917422867513611,0.35685117967332125
5,Minh Hằng,834,1.471698113207547,0.1905517199538919,686,0.749271137026239,0.1588921282798834,0.09183673469387756,0.5903790087463556
1,Hồ Ngọc Hà,437,2.69811320754717,0.11526121862929485,988,0.7945344129554656,0.1346153846153846,0.0708502024291498,0.659919028340081
3,Ngô Thanh Vân,321,4.2075471698113205,0.10247066674755809,0,0.0,0.0,0.0,0.0
9,Midu,238,3.5283018867924527,0.07924463588748004,0,0.0,0.0,0.0,0.0
0,Đông Nhi,204,3.30188679245283,0.07014499787660014,457,0.8643326039387309,0.08315098468271334,0.0525164113785558,0.7811816192560176
6,Khởi My,144,3.9622641509433962,0.06256628041011952,0,0.0,0.0,0.0,0.0
4,Ái Phương,147,3.3962264150943398,0.05868106534004732,32,0.84375,0.15625,0.0,0.6875
